REGION,YEAR,VALUE
REGION1,2015,4.145
REGION1,2016,4.187589454709328
REGION1,2017,4.230178909418656
REGION1,2018,4.272768364127984
REGION1,2019,4.315357818837313
REGION1,2020,4.357947273546642
REGION1,2021,4.432292023433978
REGION1,2022,4.506636773321315
REGION1,2023,4.580981523208651
REGION1,2024,4.655326273095988
REGION1,2025,4.729671022983324
REGION1,2026,4.783094637223973
REGION1,2027,4.836518251464621
REGION1,2028,4.8899418657052705
REGION1,2029,4.943365479945919
REGION1,2030,4.996789094186568
REGION1,2031,5.032653898152318
REGION1,2032,5.068518702118069
REGION1,2033,5.104383506083819
REGION1,2034,5.14024831004957
REGION1,2035,5.17611311401532
REGION1,2036,5.201517350157726
REGION1,2037,5.226921586300132
REGION1,2038,5.252325822442538
REGION1,2039,5.277730058584945
REGION1,2040,5.303134294727351
REGION1,2041,5.324802613789992
REGION1,2042,5.3464709328526325
REGION1,2043,5.368139251915274
REGION1,2044,5.389807570977914
REGION1,2045,5.411475890040555
REGION1,2046,5.428287516899501
REGION1,2047,5.445099143758446
REGION1,2048,5.461910770617391
REGION1,2049,5.478722397476336
REGION1,2050,5.4955340243352815
REGION1,2051,5.512020626408287
REGION1,2052,5.528556688287511
REGION1,2053,5.545142358352373
REGION1,2054,5.561777785427429
REGION1,2055,5.578463118783711
REGION1,2056,5.589620045021278
REGION1,2057,5.600799285111321
REGION1,2058,5.612000883681543
REGION1,2059,5.623224885448907
REGION1,2060,5.634471335219804
