VALUE
ATBF
ATBM
ATCO
ATE1
ATE2
ATGO
ATHF
ATNG
ATOI
ATWS
BEBF
BEBM
BECO
BEE1
BEE2
BEGO
BEHF
BENG
BEUR
BEWS
BGBF
BGBM
BGCO
BGE1
BGE2
BGGO
BGHF
BGNG
BGOI
BGUR
BGWS
CHBF
CHBM
CHCO
CHE1
CHE2
CHGO
CHHF
CHNG
CHOI
CHUR
CHWS
CYBF
CYBM
CYCO
CYE1
CYE2
CYGO
CYHF
CYNG
CYWS
CZBF
CZBM
CZCO
CZE1
CZE2
CZGO
CZHF
CZNG
CZOI
CZUR
CZWS
DEBF
DEBM
DECO
DEE1
DEE2
DEGO
DEHF
DENG
DEOI
DEUR
DEWS
DKBF
DKBM
DKCO
DKE1
DKE2
DKGO
DKHF
DKNG
DKOI
DKUR
DKWS
EEBF
EEBM
EECO
EEE1
EEE2
EEGO
EEHF
EENG
EEOI
EEOS
EEWS
ESBF
ESBM
ESCO
ESE1
ESE2
ESGO
ESHF
ESNG
ESOI
ESUR
ESWS
FIBF
FIBM
FICO
FIE1
FIE2
FIGO
FIHF
FING
FIOI
FIUR
FIWS
FRBF
FRBM
FRCO
FRE1
FRE2
FRGO
FRHF
FRNG
FROI
FRUR
FRWS
GRBF
GRBM
GRCO
GRE1
GRE2
GRGO
GRHF
GRNG
GROI
GRWS
HRBF
HRBM
HRCO
HRE1
HRE2
HRGO
HRHF
HRNG
HROI
HRWS
HUBF
HUBM
HUCO
HUE1
HUE2
HUGO
HUHF
HUNG
HUOI
HUUR
HUWS
IEBF
IEBM
IECO
IEE1
IEE2
IEGO
IEHF
IENG
IEOI
IEWS
ITBF
ITBM
ITCO
ITE1
ITE2
ITGO
ITHF
ITNG
ITOI
ITUR
ITWS
LTBF
LTBM
LTCO
LTE1
LTE2
LTGO
LTHF
LTNG
LTOI
LTWS
LUBF
LUBM
LUCO
LUE1
LUE2
LUGO
LUHF
LUNG
LUWS
LVBF
LVBM
LVCO
LVE1
LVE2
LVGO
LVHF
LVNG
LVWS
MTBF
MTBM
MTCO
MTE1
MTE2
MTHF
MTNG
MTWS
NLBF
NLBM
NLCO
NLE1
NLE2
NLGO
NLHF
NLNG
NLOI
NLUR
NLWS
NOBF
NOBM
NOCO
NOE1
NOE2
NOHF
NONG
NOOI
NOUR
NOWS
PLBF
PLBM
PLCO
PLE1
PLE2
PLGO
PLHF
PLNG
PLOI
PLUR
PLWS
PTBF
PTBM
PTCO
PTE1
PTE2
PTGO
PTHF
PTNG
PTUR
PTWS
ROBF
ROBM
ROCO
ROE1
ROE2
ROGO
ROHF
RONG
ROOI
ROUR
ROWS
SEBF
SEBM
SECO
SEE1
SEE2
SEGO
SEHF
SENG
SEOI
SEUR
SEWS
SIBF
SIBM
SICO
SIE1
SIE2
SIGO
SIHF
SING
SIUR
SIWS
SKBF
SKBM
SKCO
SKE1
SKE2
SKGO
SKHF
SKNG
SKOI
SKUR
SKWS
UKBF
UKBM
UKCO
UKE1
UKE2
UKGO
UKHF
UKNG
UKOI
UKUR
UKWS
