REGION,YEAR,VALUE
REGION1,2015,23.069
REGION1,2016,23.56972572881664
REGION1,2017,24.070451457633276
REGION1,2018,24.571177186449916
REGION1,2019,25.07190291526655
REGION1,2020,25.57262864408319
REGION1,2021,26.079639633094175
REGION1,2022,26.586650622105164
REGION1,2023,27.093661611116158
REGION1,2024,27.600672600127144
REGION1,2025,28.107683589138137
REGION1,2026,28.55016590682046
REGION1,2027,28.992648224502773
REGION1,2028,29.435130542185096
REGION1,2029,29.87761285986741
REGION1,2030,30.320095177549728
REGION1,2031,30.636034256652444
REGION1,2032,30.951973335755152
REGION1,2033,31.26791241485787
REGION1,2034,31.58385149396058
REGION1,2035,31.899790573063296
REGION1,2036,32.21908179093633
REGION1,2037,32.538373008809366
REGION1,2038,32.857664226682395
REGION1,2039,33.17695544455543
REGION1,2040,33.49624666242847
REGION1,2041,33.802967359912806
REGION1,2042,34.10968805739714
REGION1,2043,34.41640875488148
REGION1,2044,34.72312945236581
REGION1,2045,35.02985014985015
REGION1,2046,35.312686858595946
REGION1,2047,35.59552356734174
REGION1,2048,35.87836027608754
REGION1,2049,36.16119698483334
REGION1,2050,36.444033693579144
REGION1,2051,36.66269789574062
REGION1,2052,36.88267408311506
REGION1,2053,37.103970127613756
REGION1,2054,37.32659394837944
REGION1,2055,37.55055351206972
REGION1,2056,37.738306279630066
REGION1,2057,37.926997811028215
REGION1,2058,38.11663280008335
REGION1,2059,38.30721596408377
REGION1,2060,38.49875204390418
