REGION,TECHNOLOGY,VALUE
REGION1,CHNGCSPN2,31.536
REGION1,CHNGFCFH1,31.536
REGION1,CHNGGCPH2,31.536
REGION1,CHNGGCPN2,31.536
REGION1,CHNGHPFH1,31.536
REGION1,CHNGHPPH2,31.536
REGION1,CHNGSTPH2,31.536
REGION1,CHNUG2PH3,31.536
REGION1,CHNUG3PN3,31.536
REGION1,CHSODIFH1,31.536
REGION1,CHSOUTPH2,31.536
REGION1,CHWIONPH3,31.536
REGION1,CHWSCHPH2,31.536
REGION1,CHWSSTPH1,31.536
REGION1,CYBFHPFH1,31.536
REGION1,CYBMCCPH1,31.536
REGION1,CYBMCHPH3,31.536
REGION1,CYBMCSPN2,31.536
REGION1,CYBMSTPH3,31.536
REGION1,CYGOCVPH2,31.536
REGION1,CYHFCCPH2,31.536
REGION1,CYHFCHPH3,31.536
REGION1,CYHFGCPH3,31.536
REGION1,CYHFGCPN3,31.536
REGION1,CYHFHPFH1,31.536
REGION1,CYHFHPPH2,31.536
REGION1,CYHFSTPH2,31.536
REGION1,CYHFSTPH3,31.536
REGION1,CYNGCCPH2,31.536
REGION1,CYNGCHPH3,31.536
REGION1,CYNGCHPN3,31.536
REGION1,CYNGCSPN2,31.536
REGION1,CYNGFCFH1,31.536
REGION1,CYNGGCPH2,31.536
REGION1,CYNGGCPN2,31.536
REGION1,CYNGHPFH1,31.536
REGION1,CYNGHPPH2,31.536
REGION1,CYNGSTPH2,31.536
REGION1,CYOCWVPH1,31.536
REGION1,CYSODIFH1,31.536
REGION1,CYSOUTPH2,31.536
REGION1,CYWIONPH3,31.536
REGION1,CYWSCHPH2,31.536
REGION1,CYWSSTPH1,31.536
REGION1,CZBFHPFH1,31.536
REGION1,CZBMCCPH1,31.536
REGION1,CZBMCHPH3,31.536
REGION1,CZBMCSPN2,31.536
REGION1,CZBMSTPH3,31.536
REGION1,CZCOCHPH3,31.536
REGION1,CZCOCSPN2,31.536
REGION1,CZCOSTPH1,31.536
REGION1,CZCOSTPH3,31.536
REGION1,CZELDEPH1,31.536
REGION1,CZELPLPH1,31.536
REGION1,CZELSKPH1,31.536
REGION1,CZGOCVPH2,31.536
REGION1,CZHFCCPH2,31.536
REGION1,CZHFCHPH3,31.536
REGION1,CZHFGCPH3,31.536
REGION1,CZHFGCPN3,31.536
REGION1,CZHFHPFH1,31.536
REGION1,CZHFHPPH2,31.536
REGION1,CZHFSTPH2,31.536
REGION1,CZHFSTPH3,31.536
REGION1,CZHYDMPH0,31.536
REGION1,CZHYDMPH1,31.536
REGION1,CZHYDMPH2,31.536
REGION1,CZHYDMPH3,31.536
REGION1,CZHYDSPH2,31.536
REGION1,CZHYDSPH3,31.536
REGION1,CZNGCCPH2,31.536
REGION1,CZNGCHPH3,31.536
REGION1,CZNGCHPN3,31.536
REGION1,CZNGCSPN2,31.536
REGION1,CZNGFCFH1,31.536
REGION1,CZNGGCPH2,31.536
REGION1,CZNGGCPN2,31.536
REGION1,CZNGHPFH1,31.536
REGION1,CZNGHPPH2,31.536
REGION1,CZNGSTPH2,31.536
REGION1,CZNUG2PH3,31.536
REGION1,CZNUG3PN3,31.536
REGION1,CZSODIFH1,31.536
REGION1,CZSOUTPH2,31.536
REGION1,CZWIONPH3,31.536
REGION1,CZWSCHPH2,31.536
REGION1,CZWSSTPH1,31.536
REGION1,DEBFHPFH1,31.536
REGION1,DEBMCCPH1,31.536
REGION1,DEBMCHPH3,31.536
REGION1,DEBMCSPN2,31.536
REGION1,DEBMSTPH3,31.536
REGION1,DECOCHPH3,31.536
REGION1,DECOCSPN2,31.536
REGION1,DECOSTPH1,31.536
REGION1,DECOSTPH3,31.536
REGION1,DEELDKPH1,31.536
