REGION,TECHNOLOGY,VALUE
REGION1,CHWSSTPH1,30.0
REGION1,CYBFHPFH1,20.0
REGION1,CYBMCCPH1,30.0
REGION1,CYBMCHPH3,25.0
REGION1,CYBMCSPN2,35.0
REGION1,CYBMSTPH3,30.0
REGION1,CYGOCVPH2,40.0
REGION1,CYHFCCPH2,30.0
REGION1,CYHFCHPH3,25.0
REGION1,CYHFGCPH3,25.0
REGION1,CYHFGCPN3,25.0
REGION1,CYHFHPFH1,20.0
REGION1,CYHFHPPH2,20.0
REGION1,CYHFSTPH2,30.0
REGION1,CYHFSTPH3,30.0
REGION1,CYNGCCPH2,30.0
REGION1,CYNGCHPH3,25.0
REGION1,CYNGCHPN3,25.0
REGION1,CYNGCSPN2,30.0
REGION1,CYNGFCFH1,5.0
REGION1,CYNGGCPH2,25.0
REGION1,CYNGGCPN2,25.0
REGION1,CYNGHPFH1,20.0
REGION1,CYNGHPPH2,20.0
REGION1,CYNGSTPH2,30.0
REGION1,CYOCWVPH1,25.0
REGION1,CYSODIFH1,25.0
REGION1,CYSOUTPH2,25.0
REGION1,CYWIONPH3,25.0
REGION1,CYWSCHPH2,25.0
REGION1,CYWSSTPH1,30.0
REGION1,CZBFHPFH1,20.0
REGION1,CZBMCCPH1,30.0
REGION1,CZBMCHPH3,25.0
REGION1,CZBMCSPN2,35.0
REGION1,CZBMSTPH3,30.0
REGION1,CZCOCHPH3,25.0
REGION1,CZCOCSPN2,40.0
REGION1,CZCOSTPH1,30.0
REGION1,CZCOSTPH3,30.0
REGION1,CZGOCVPH2,40.0
REGION1,CZHFCCPH2,30.0
REGION1,CZHFCHPH3,25.0
REGION1,CZHFGCPH3,25.0
REGION1,CZHFGCPN3,25.0
REGION1,CZHFHPFH1,20.0
REGION1,CZHFHPPH2,20.0
REGION1,CZHFSTPH2,30.0
REGION1,CZHFSTPH3,30.0
REGION1,CZHYDMPH0,80.0
REGION1,CZHYDMPH1,80.0
REGION1,CZHYDMPH2,80.0
REGION1,CZHYDMPH3,80.0
REGION1,CZHYDSPH2,80.0
REGION1,CZHYDSPH3,80.0
REGION1,CZNGCCPH2,30.0
REGION1,CZNGCHPH3,25.0
REGION1,CZNGCHPN3,25.0
REGION1,CZNGCSPN2,30.0
REGION1,CZNGFCFH1,5.0
REGION1,CZNGGCPH2,25.0
REGION1,CZNGGCPN2,25.0
REGION1,CZNGHPFH1,20.0
REGION1,CZNGHPPH2,20.0
REGION1,CZNGSTPH2,30.0
REGION1,CZNUG2PH3,50.0
REGION1,CZNUG3PN3,60.0
REGION1,CZSODIFH1,25.0
REGION1,CZSOUTPH2,25.0
REGION1,CZWIONPH3,25.0
REGION1,CZWSCHPH2,25.0
REGION1,CZWSSTPH1,30.0
REGION1,DEBFHPFH1,20.0
REGION1,DEBMCCPH1,30.0
REGION1,DEBMCHPH3,25.0
REGION1,DEBMCSPN2,35.0
REGION1,DEBMSTPH3,30.0
REGION1,DECOCHPH3,25.0
REGION1,DECOCSPN2,40.0
REGION1,DECOSTPH1,30.0
REGION1,DECOSTPH3,30.0
REGION1,DEGOCVPH2,40.0
REGION1,DEHFCCPH2,30.0
REGION1,DEHFCHPH3,25.0
REGION1,DEHFGCPH3,25.0
REGION1,DEHFGCPN3,25.0
REGION1,DEHFHPFH1,20.0
REGION1,DEHFHPPH2,20.0
REGION1,DEHFSTPH2,30.0
REGION1,DEHFSTPH3,30.0
REGION1,DEHYDMPH0,80.0
REGION1,DEHYDMPH1,80.0
REGION1,DEHYDMPH2,80.0
REGION1,DEHYDMPH3,80.0
REGION1,DEHYDSPH2,80.0
REGION1,DEHYDSPH3,80.0
REGION1,DENGCCPH2,30.0
REGION1,DENGCHPH3,25.0
REGION1,DENGCHPN3,25.0
REGION1,DENGCSPN2,30.0
REGION1,DENGFCFH1,5.0
REGION1,DENGGCPH2,25.0
REGION1,DENGGCPN2,25.0
REGION1,DENGHPFH1,20.0
REGION1,DENGHPPH2,20.0
REGION1,DENGSTPH2,30.0
REGION1,DENUG2PH3,50.0
REGION1,DEOCWVPH1,25.0
REGION1,DESODIFH1,25.0
REGION1,DESOUTPH2,25.0
REGION1,DEWIOFPH3,25.0
REGION1,DEWIOFPN2,25.0
REGION1,DEWIOFPN3,25.0
REGION1,DEWIONPH3,25.0
REGION1,DEWIONPN3,25.0
REGION1,DEWSCHPH2,25.0
REGION1,DEWSSTPH1,30.0
REGION1,DKBFHPFH1,20.0
REGION1,DKBMCCPH1,30.0
REGION1,DKBMCHPH3,25.0
REGION1,DKBMCSPN2,35.0
REGION1,DKBMSTPH3,30.0
REGION1,DKCOCHPH3,25.0
REGION1,DKCOCSPN2,40.0
REGION1,DKCOSTPH1,30.0
REGION1,DKCOSTPH3,30.0
REGION1,DKGOCVPH2,40.0
REGION1,DKHFCCPH2,30.0
REGION1,DKHFCHPH3,25.0
REGION1,DKHFGCPH3,25.0
REGION1,DKHFGCPN3,25.0
REGION1,DKHFHPFH1,20.0
REGION1,DKHFHPPH2,20.0
REGION1,DKHFSTPH2,30.0
REGION1,DKHFSTPH3,30.0
REGION1,DKHYDMPH0,80.0
REGION1,DKHYDMPH1,80.0
REGION1,DKHYDMPH2,80.0
REGION1,DKHYDMPH3,80.0
REGION1,DKNGCCPH2,30.0
REGION1,DKNGCHPH3,25.0
REGION1,DKNGCHPN3,25.0
REGION1,DKNGCSPN2,30.0
REGION1,DKNGFCFH1,5.0
REGION1,DKNGGCPH2,25.0
REGION1,DKNGGCPN2,25.0
REGION1,DKNGHPFH1,20.0
REGION1,DKNGHPPH2,20.0
REGION1,DKNGSTPH2,30.0
REGION1,DKOCWVPH1,25.0
REGION1,DKSODIFH1,25.0
REGION1,DKSOUTPH2,25.0
REGION1,DKWIOFPH3,25.0
REGION1,DKWIOFPN2,25.0
REGION1,DKWIOFPN3,25.0
REGION1,DKWIONPH3,25.0
REGION1,DKWSCHPH2,25.0
REGION1,DKWSSTPH1,30.0
REGION1,EEBFHPFH1,20.0
REGION1,EEBMCCPH1,30.0
REGION1,EEBMCHPH3,25.0
REGION1,EEBMCSPN2,35.0
REGION1,EEBMSTPH3,30.0
REGION1,EECOCHPH3,25.0
REGION1,EECOCSPN2,40.0
REGION1,EECOSTPH1,30.0
REGION1,EECOSTPH3,30.0
REGION1,EEGOCVPH2,40.0
REGION1,EEHFCCPH2,30.0
REGION1,EEHFCHPH3,25.0
REGION1,EEHFGCPH3,25.0
REGION1,EEHFGCPN3,25.0
REGION1,EEHFHPFH1,20.0
REGION1,EEHFHPPH2,20.0
