REGION,YEAR,VALUE
REGION1,2015,13.584
REGION1,2016,13.609615085444903
REGION1,2017,13.635230170889807
REGION1,2018,13.660845256334708
REGION1,2019,13.686460341779613
REGION1,2020,13.712075427224516
REGION1,2021,13.80452987625221
REGION1,2022,13.896984325279908
REGION1,2023,13.989438774307603
REGION1,2024,14.0818932233353
REGION1,2025,14.174347672362993
REGION1,2026,14.227579021803182
REGION1,2027,14.280810371243373
REGION1,2028,14.33404172068356
REGION1,2029,14.38727307012375
REGION1,2030,14.440504419563936
REGION1,2031,14.521352032999411
REGION1,2032,14.602199646434885
REGION1,2033,14.683047259870362
REGION1,2034,14.763894873305837
REGION1,2035,14.844742486741312
REGION1,2036,14.932794342958166
REGION1,2037,15.02084619917502
REGION1,2038,15.108898055391872
REGION1,2039,15.196949911608726
REGION1,2040,15.28500176782558
REGION1,2041,15.413077195050093
REGION1,2042,15.541152622274607
REGION1,2043,15.669228049499116
REGION1,2044,15.797303476723629
REGION1,2045,15.925378903948143
REGION1,2046,16.043448438420743
REGION1,2047,16.161517972893343
REGION1,2048,16.279587507365942
REGION1,2049,16.397657041838542
REGION1,2050,16.515726576311142
REGION1,2051,16.63133666234532
REGION1,2052,16.747756018981736
REGION1,2053,16.864990311114607
REGION1,2054,16.983045243292406
REGION1,2055,17.10192655999545
REGION1,2056,17.221640045915418
REGION1,2057,17.342191526236824
REGION1,2058,17.46358686692048
REGION1,2059,17.58583197498892
REGION1,2060,17.70893279881384
