VALUE
ATHY
ATPM25
ATSO
ATWI
BEHO
BEPM25
BESO
BEWI
BGHO
BGPM25
BGSO
BGWI
CHHY
CHPM25
CHSO
CHWI
CO2
CYPM25
CYSO
CYWI
CZHO
CZPM25
CZSO
CZWI
DEHO
DEPM25
DESO
DEWI
DKHO
DKPM25
DKSO
DKWI
EEHO
EEPM25
EESO
EEWI
ESHO
ESPM25
ESSO
ESWI
FIHO
FIPM25
FISO
FIWI
FRHO
FRPM25
FRSO
FRWI
GRHY
GRPM25
GRSO
GRWI
HRHY
HRPM25
HRSO
HRWI
HUHO
HUPM25
HUSO
HUWI
IEHO
IEPM25
IESO
IEWI
ITHO
ITPM25
ITSO
ITWI
LTHO
LTPM25
LTSO
LTWI
LUHO
LUPM25
LUSO
LUWI
LVHO
LVPM25
LVWI
MTPM25
MTSO
MTWI
NLHO
NLPM25
NLSO
NLWI
NOHO
NOPM25
NOSO
NOWI
PLHO
PLPM25
PLSO
PLWI
PTHO
PTPM25
PTSO
PTWI
ROHY
ROPM25
ROSO
ROWI
SEHO
SEPM25
SESO
SEWI
SIHO
SIPM25
SISO
SIWI
SKHO
SKPM25
SKSO
SKWI
UKC2
UKHO
UKPM25
UKSO
UKWI
BGWO
DEWO
DKWO
EEWO
ESWO
FIWO
FRWO
GRWO
HRWO
IEWO
ITWO
LTWO
LVWO
NLWO
PLWO
PTWO
ROWO
SEWO
UKWO
BMIM
LVSO
